2026-07-02 20:40:09 | INFO | BI | === RUN START ===
2026-07-02 20:40:09 | INFO | BI | project=BI
2026-07-02 20:40:09 | INFO | BI | repo_dir=bintel-01-intro
2026-07-02 20:40:09 | INFO | BI | python=3.14.2
2026-07-02 20:40:09 | INFO | BI | os=Windows 11
2026-07-02 20:40:09 | INFO | BI | shell=powershell
2026-07-02 20:40:09 | INFO | BI | cwd=.
2026-07-02 20:40:09 | INFO | BI | github_actions=False
2026-07-02 20:40:09 | INFO | BI | ========================
2026-07-02 20:40:09 | INFO | BI | START main()
2026-07-02 20:40:09 | INFO | BI | ========================
2026-07-02 20:40:09 | INFO | BI | Raw data:  = data\raw
2026-07-02 20:40:09 | INFO | BI | Customers: = data\raw\customers_data.csv
2026-07-02 20:40:09 | INFO | BI | Products:  = data\raw\products_data.csv
2026-07-02 20:40:09 | INFO | BI | Sales:     = data\raw\sales_data.csv
2026-07-02 20:40:09 | INFO | BI | CALL a function to load each dataset.............
2026-07-02 20:40:09 | INFO | BI | Loading customers from data\raw\customers_data.csv
2026-07-02 20:40:09 | INFO | BI | Loaded: 201 rows, 4 columns
2026-07-02 20:40:09 | INFO | BI | Loading products from data\raw\products_data.csv
2026-07-02 20:40:09 | INFO | BI | Loaded: 100 rows, 4 columns
2026-07-02 20:40:09 | INFO | BI | Loading sales from data\raw\sales_data.csv
2026-07-02 20:40:09 | INFO | BI | Loaded: 2001 rows, 7 columns
2026-07-02 20:40:09 | INFO | BI | CALL a function to get sales by region........
2026-07-02 20:40:09 | INFO | BI | Aggregating sales by region
2026-07-02 20:40:10 | INFO | BI |   Top region: East ($679,700.37)
2026-07-02 20:40:10 | INFO | BI | Returning DataFrame with total sales by region
2026-07-02 20:40:10 | INFO | BI | CALL a function to plot sales by region........
2026-07-02 20:40:10 | INFO | BI | Creating chart: Total Sales by Region
2026-07-02 20:40:12 | INFO | BI | CALL a function to get sales by product category........
2026-07-02 20:40:12 | INFO | BI | Aggregating sales by product category
